ORF,Gene,Well ID,Well cell count,Mean Intensity 488nm,STD Intensity 488nm,Median Intensity 488nm
YDR177W,UBC1,1B8,2,103.420785,0.8459047712656482,103.420785
YIR018C-A,YIR018C-A,5I1,285,106.412397754386,1.7626240172314112,106.26278
YKL033W-A,YKL033W-A,5H4,326,106.42434766871165,1.948940594779894,106.39636999999999
YLR030W,YLR030W,5I2,525,106.43785038095243,1.6603312827763885,106.4305
YMR140W,SIP5,5I7,41,106.81107365853654,2.366431259702842,106.56972
YDL020C,RPN4,5I14,22,106.91467545454545,3.2875197314399367,106.249195
YHR046C,INM1,5I5,297,106.99629242424234,1.9578163983391266,106.99949
YMR143W,RPS16A,5H5,1277,107.06345091620992,1.6710663465749973,107.02078
YLR045C,STU2,5H6,719,107.37222695410291,1.966688538665973,107.28951
YPL038W,MET31,5H3,1248,107.38289937499988,1.888630682477631,107.280485
YBR234C,ARC40,5I4,621,107.40833665056356,1.834602554528449,107.47468
YBL005W,PDR3,5I3,604,107.50894990066226,1.986361525493999,107.433265
YBR017C,KAP104,5H1,1618,108.00708763906064,2.255706505367458,107.8884
YLR228C,ECM22,5H2,1597,108.09109647464017,2.1697925301461094,107.96217
YBL009W,ALK2,5H7,1246,108.14195437399673,3.1866019348479093,107.245765
YOR281C,PLP2,5I6,890,108.23419124719092,2.456586612291697,108.269385
YLL018C-A,COX19,10B20,21,108.89694666666666,8.812940343218225,106.7532
YHL034C,SBP1,5H9,1837,109.14050324986403,2.6716124887591066,109.1554
YOR396C-A,YOR396C-A,12B22,5,109.35426,1.1984003540553558,109.91255
YDR515W,SLF1,5H10,1758,109.40131343003416,2.7117251474225634,109.319515
YDR313C,PIB1,5H11,1894,109.4350454593454,2.5955377060552682,109.55389
YOL039W,RPP2A,5H8,1109,109.49604719567189,3.073410551792618,109.47568
YDR063W,AIM7,10D24,13,109.92018846153847,10.131031918314019,105.34633
YGL209W,MIG2,5I9,1530,109.96077412418295,2.9081672136088614,109.96262999999999
YLR015W,BRE2,5H12,2118,110.32402575542984,2.9786095991977426,110.386505
YJR082C,EAF6,5H14,585,110.33802943589743,3.9553664048859236,109.78286
