Object ID	Circularity Factor 	Total Intensity TransCon	Mean Intensity TransCon	Total Intensity 488nm	Mean Intensity 488nm	Total Intensity 561nm	Mean Intensity 561nm	Area 	Well 	Position 	Parent Object ID (Well)	Parent Trace ID	R01
0	1.0541607	12408528	12979.632	135284	141.51047	100184	104.79498	956	1	1	0	-1	1
1	1.0405837	10597863	12616.504	125759.99	149.71428	87048	103.62857	840	1	2	0	-1	1
2	1.0943007	16133063	14139.406	168188	147.40404	122635	107.48028	1141	1	2	0	-1	1
3	1.1035343	35890972	15597.988	332074.03	144.31726	247224	107.44198	2301	1	2	0	-1	0
4	1.0464525	17864618	14691.298	176679	145.29523	132345	108.83635	1216	1	2	0	-1	1
5	1.0643314	9673504	13398.205	104478	144.70638	73544	101.8615	722	1	2	0	-1	1
6	1.0248113	20455142	17045.951	163164	135.97	123491	102.90916	1200	1	2	0	-1	1
7	1.0287749	15071662	12425.113	144749	119.33141	141428	116.59357	1213	1	2	0	-1	1
8	1.0429154	27128734	14601.041	277575	149.39452	189730	102.11518	1858	1	2	0	-1	1
9	1.0786532	12237527	13703.838	134135	150.20717	91026	101.93281	893	1	2	0	-1	1
10	1.0487779	9022635	13249.097	92825	136.3069	72156	105.95595	681	1	2	0	-1	1
11	1.0550798	26549382	16198.524	266225	162.43137	189290	115.49115	1639	1	2	0	-1	1
12	1.0296187	21208908	14988.628	213180	150.65724	171351	121.09612	1415	1	2	0	-1	1
13	1.0219465	24467942	16874.443	222399.98	153.3793	173167	119.42551	1450	1	2	0	-1	1
14	1.0470855	13170676	13748.096	145213	151.57933	106467	111.13466	958	1	2	0	-1	1
15	1.2693349	3060275	15301.375	20469	102.345	20076	100.38	200	1	2	0	-1	0
16	1.0419207	13458110	15630.79	131579	152.82114	90263	104.83508	861	1	3	0	-1	1
17	1.035587	19390208	15841.673	183379	149.81944	126830	103.61928	1224	1	3	0	-1	1
18	1.0569602	14638891	13516.981	158592	146.43767	112201.99	103.60295	1083	1	3	0	-1	1
19	1.0300973	15680826	13926.133	154402	137.12433	119450	106.08348	1126	1	3	0	-1	1
20	1.1715961	2604807	11628.603	30469	136.02232	22739	101.51339	224	1	3	0	-1	0
21	1.0357629	22971526	13641.049	242308.02	143.88837	178615	106.06592	1684	1	3	0	-1	1
22	1.127723	9732438	14354.628	69160	102.0059	68724	101.36283	678	1	3	0	-1	1
23	1.1187026	5626358	12787.178	61254	139.21364	48321	109.82046	440	1	3	0	-1	1
24	1.0312972	14530105	14979.489	165638	170.76082	144710	149.18556	970	1	3	0	-1	1
25	1.0473848	24204884	14271.748	288465	170.08549	264138	155.74174	1696	1	3	0	-1	1
26	1.0285602	18151774	14927.446	181387	149.16695	183287	150.72945	1216	1	3	0	-1	1
27	1.0593691	6198815	13446.453	87053	188.83514	58574	127.05857	461	1	3	0	-1	1
28	1.0261932	20789960	13369.749	250935	161.37299	216253	139.06946	1555	1	3	0	-1	1
29	1.0779162	12153535	13779.519	153715	174.28004	117323.99	133.0204	882	1	3	0	-1	1
30	1.074325	12829045	12664.407	185322	182.94373	143890	142.04344	1013	1	3	0	-1	1
31	1.0284073	26347088	14350.266	316939	172.62473	310409	169.06808	1836	1	3	0	-1	1
32	1.0333352	19878584	12916.559	241686	157.04094	163812	106.44054	1539	1	3	0	-1	1
33	1.0541201	16166935	12760.012	208663	164.69061	133348	105.24704	1267	1	3	0	-1	1
34	1.0727722	6519500	16380.653	68672	172.54271	42190	106.00503	398	1	3	0	-1	1
35	1.0762552	7611533	12336.358	90433.992	146.5705	62789	101.76499	617	1	3	0	-1	1
36	1.018783	15649272	12785.353	184674	150.87746	125106	102.21078	1224	1	3	0	-1	1
37	1.0204032	36442724	13603.106	410494.97	153.22694	275116	102.69354	2679	1	3	0	-1	0
38	1.0356021	9917689	12780.527	124248.99	160.11469	79324	102.22165	776	1	3	0	-1	1
39	1.0431508	9847427	12402.301	126296.99	159.06422	97835	123.21789	794	1	3	0	-1	1
40	1.0252557	27123774	15428.768	282709	160.81285	219239	124.70933	1758	1	3	0	-1	1
41	1.0810792	12609554	13039.87	147519	152.55325	110291	114.05481	967	1	3	0	-1	1
42	1.0365255	23649806	13529.638	251496	143.87643	205556	117.59496	1748	1	3	0	-1	1
43	1.073352	31965432	13898.014	358207	155.74217	353683	153.77522	2300	1	3	0	-1	0
44	1.043059	18299832	13222.422	220091	159.02528	152302	110.0448	1384	1	3	0	-1	1
45	1.0244144	15559770	16107.422	133303	137.99483	98274	101.73292	966	1	3	0	-1	1
46	1.047605	27975900	15362.933	252653	138.74409	203361	111.67545	1821	2	1	1	-1	1
47	1.0370092	9886808	13905.496	94584	133.02954	73033	102.7187	711	2	1	1	-1	1
48	1.0305165	25730964	15225.423	264323	156.40414	173403	102.60532	1690	2	2	1	-1	1
49	1.0291084	16045326	14599.933	169801	154.505	112549	102.41037	1099	2	2	1	-1	1
50	1.0445122	16757985	15304.096	169213	154.53242	112487	102.72785	1095	2	2	1	-1	1
51	1.1003438	9601793	13795.68	98056	140.88506	70953	101.94396	696	2	2	1	-1	1
52	1.0734573	12150962	12212.022	112810	113.37688	151782	152.54472	995	2	2	1	-1	1
53	1.1664161	7377354	15498.643	48772	102.46218	48361	101.59874	476	2	2	1	-1	0
54	1.0259035	20422580	15746.014	204302.98	157.51965	134052	103.35544	1297	2	3	1	-1	1
55	1.0620258	22170204	16053.732	209866	151.96669	144590	104.69949	1381	2	3	1	-1	1
56	1.0484825	13842046	15045.702	138139	150.15109	94412	102.62174	920	2	3	1	-1	1
57	1.0555636	23670264	21115.311	165999	148.08118	114878	102.47814	1121	2	3	1	-1	1
58	1.0535412	15374031	14999.055	166939	162.86731	106183	103.59317	1025	2	3	1	-1	1
59	1.0617374	15192778	15223.225	170455	170.7966	102478	102.68336	998	2	3	1	-1	1
60	1.0238205	19686274	19357.201	121534	119.50246	103549	101.81809	1017	2	3	1	-1	1
61	1.1405468	3246960	15916.471	20831	102.11275	20785	101.88725	204	3	1	2	-1	0
62	1.0931338	12408772	11829.144	171772	163.74834	126151	120.25834	1049	3	1	2	-1	1
63	1.0612288	18920956	18920.955	110031	110.031	104002	104.002	1000	3	1	2	-1	1
64	1.1044613	23957566	14688.882	272448	167.04353	206485	126.60024	1631	3	1	2	-1	1
65	1.0289461	18644904	14532.271	213929	166.74123	130488	101.70538	1283	3	1	2	-1	1
66	1.0800113	8131009	12245.495	95660.992	144.06776	67297	101.35091	664	3	1	2	-1	1
67	1.0381756	7466324	15554.842	81801	170.41875	48754	101.57083	480	3	1	2	-1	1
68	1.0202845	18042010	13424.114	203659	151.532	136713	101.72099	1344	3	1	2	-1	1
69	1.0970732	28204418	14828.821	309765	162.86278	193306	101.63302	1902	3	1	2	-1	1
70	1.0292612	21855562	13197.803	245533	148.26872	168231	101.58877	1656	3	1	2	-1	1
71	1.0455773	17662438	12996.643	206082	151.64238	138642	102.01766	1359	3	2	2	-1	1
72	1.0550377	18012524	12921.466	217702	156.17073	157908	113.2769	1394	3	2	2	-1	1
73	1.1946525	6907385	11807.496	60774.996	103.88889	60552	103.50769	585	3	3	2	-1	0
74	1.0447768	10111852	15824.494	112235	175.64163	65200	102.03443	639	3	3	2	-1	1
75	1.0595235	7304075	15982.658	85381	186.82932	49980	109.36543	457	3	3	2	-1	1
76	1.0379701	17586432	13363.551	207232.98	157.47188	147466	112.05623	1316	3	3	2	-1	1
77	1.0241337	19804096	14615.569	214067.02	157.98303	138712	102.37048	1355	3	3	2	-1	1
78	1.0395414	21608600	14169.574	226290	148.38689	155682	102.08656	1525	3	3	2	-1	1
79	1.0611583	12387282	13163.955	144813	153.89267	96093	102.11796	941	3	3	2	-1	1
80	1.0568573	3067353	15975.797	19859	103.43229	19524	101.6875	192	3	3	2	-1	0
81	1.0366034	13468432	13321.892	154964	153.27794	119171	117.87438	1011	3	3	2	-1	1
82	1.0224131	19048608	13893.952	208182	151.84683	175582	128.06856	1371	3	3	2	-1	1
83	1.0296007	21038676	13374.873	270763	172.13159	197859	125.78448	1573	3	3	2	-1	1
84	1.0215836	27752200	15435.039	319719	177.81924	248856	138.40712	1798	3	3	2	-1	1
85	1.0771992	8401812	9954.7539	116139.99	137.60663	93899	111.25474	844	4	1	3	-1	1
86	1.0679685	16995308	15592.025	157744	144.71927	113230	103.88074	1090	4	1	3	-1	1
87	1.0362177	15072892	10075.463	225420.98	150.68248	158737	106.10762	1496	4	1	3	-1	1
88	1.0478821	11494141	10345.762	180543	162.50494	117215	105.50405	1111	4	1	3	-1	1
89	1.0841727	21814926	13711.455	198311	124.64551	161911	101.76682	1591	4	1	3	-1	1
90	1.0455606	12564788	13338.416	124783.01	132.46603	96056	101.97028	942	4	1	3	-1	1
91	1.0799262	19421132	12253.08	237554	149.87634	161980	102.19559	1585	4	1	3	-1	1
92	1.086847	2843612	9262.5801	44911	146.2899	31145	101.44951	307	4	1	3	-1	1
93	1.0660623	17729974	11695.233	223452	147.39578	155409	102.51254	1516	4	1	3	-1	1
94	1.0660976	17551220	12154.585	213489	147.84557	148462	102.81302	1444	4	1	3	-1	1
95	1.0387122	17385112	12887.407	198821	147.38399	137676	102.05782	1349	4	1	3	-1	1
96	1.0422551	15177378	10199.851	250586	168.40457	205050.98	137.80309	1488	4	1	3	-1	1
97	1.2102943	2672518	11519.475	24196	104.29311	23966	103.30173	232	4	1	3	-1	0
98	1.1735022	2258800	11583.59	20256	103.87692	19982	102.47179	195	4	1	3	-1	0
99	1.2127625	6351244	11281.073	58017.996	103.05151	57428	102.00356	563	4	1	3	-1	0
100	1.0482391	10009536	8688.833	122295	106.15885	129675	112.5651	1152	4	1	3	-1	1
101	1.0475503	9745449	8811.4365	124425	112.5	176318	159.41953	1106	4	1	3	-1	1
102	1.0354986	5563851	8612.7725	66959	103.6517	67796	104.94736	646	4	1	3	-1	1
103	1.0324316	18643668	10789.16	276970	160.28357	177211	102.55267	1728	4	2	3	-1	1
104	1.0406927	8580232	10130.144	120105	141.80048	86213	101.78631	847	4	2	3	-1	1
105	1.0527198	10647242	9644.2412	124835	113.07518	141987	128.61142	1104	4	2	3	-1	1
106	1.0759048	5103393	9295.7979	58955	107.38615	61019	111.14572	549	4	2	3	-1	1
107	1.0580287	15789592	11326.823	234570	168.27116	167805	120.37662	1394	4	2	3	-1	1
108	1.0420577	17889438	10881.653	259673	157.95195	228203.02	138.80962	1644	4	2	3	-1	1
109	1.1294454	11772001	10869.807	157142	145.0988	132917	122.73038	1083	4	2	3	-1	0
110	1.126802	6599227	10090.562	81183	124.13303	69113	105.67737	654	4	2	3	-1	1
111	1.1158424	8173177.5	9753.1953	126867.01	151.39261	87972	104.97852	838	4	2	3	-1	1
112	1.0242364	24281080	13160.477	287252	155.69214	198448	107.55989	1845	4	2	3	-1	1
113	1.0380115	14174363	11570.908	185137	151.13225	134180	109.53469	1225	4	2	3	-1	1
114	1.0368305	13914468	11964.289	173153	148.88478	125862	108.22184	1163	4	2	3	-1	1
115	1.1164322	4690640	10959.439	64028	149.59813	44000	102.80374	428	4	2	3	-1	1
116	1.3446884	2287902	11555.061	20253	102.28788	20261	102.32829	198	4	3	3	-1	0
117	1.3426566	2347480	11451.122	21029	102.58049	20940	102.14634	205	4	3	3	-1	0
118	1.2968409	8497160	11671.923	74807	102.75687	74271	102.02061	728	4	3	3	-1	0
119	1.4443154	10647224	11485.679	95503	103.02374	95106	102.59547	927	4	3	3	-1	0
120	1.0429112	7051603.5	9807.5156	92975	129.31154	72948	101.45758	719	4	3	3	-1	1
121	1.0440891	9707644	8219.8506	124748	105.62913	129303	109.48603	1181	4	3	3	-1	1
122	1.3644937	9839167	11643.984	87030	102.99408	86475	102.33728	845	4	3	3	-1	0
123	1.0914683	21296480	11937.488	313615	175.79317	182156	102.10538	1784	4	3	3	-1	1
124	1.0570106	4117718.8	11343.578	37413	103.06612	37251	102.61983	363	4	3	3	-1	1
125	1.0502616	22493788	11053.458	367560	180.61917	209902	103.14594	2035	4	3	3	-1	1
126	1.0408506	12957508	10708.685	193660	160.04959	123365	101.95454	1210	4	3	3	-1	1
127	1.0518948	7620389	9621.7031	105008	132.58586	80407	101.52399	792	4	3	3	-1	1
128	1.1883042	16512595	11786.292	250396	178.72662	142995	102.06638	1401	4	3	3	-1	0
129	1.034696	16210095	13772.383	130603.99	110.96346	119477	101.50977	1177	4	3	3	-1	1
130	1.0352421	18488194	13075.103	230916	163.30693	143807	101.70226	1414	4	3	3	-1	1
131	1.0188846	18123098	12353.851	234016	159.52011	149494	101.90456	1467	4	3	3	-1	1
132	1.1376472	25969236	11159.964	395042.03	169.76451	237324	101.98711	2327	4	3	3	-1	0
133	1.0701254	19894032	11820.577	294034	174.70825	171948	102.16756	1683	4	3	3	-1	1
134	1.051052	16186381	11463.442	222741	157.74858	144494	102.33286	1412	4	3	3	-1	1
135	1.041889	17900092	13951.748	192160	149.77397	130737	101.89945	1283	4	3	3	-1	1
136	1.0241005	9097129	9417.3174	153391	158.78986	98106	101.55901	966	4	3	3	-1	1
